ACSL3
ACTB
AFF3
AGTRAP
AHRR
AKAP9
ALK
ANKRD28
ARHGAP6
ASPSCR1
ATIC
BACH2
BCL11B
BCL2
BCL9
BCOR
BCR
BIRC3
BRD3
BRWD3
C11orf95
C15orf21
C15orf55
C6orf204
CACNA2D4
CANT1
CAPRIN1
CARS
CBFB
CCDC6
CCDC88C
CCND1
CD44
CD74
CDH11
CDK5RAP2
CDK6
CEP110
CHCHD7
CHIC2
CIC
CLTC
CNBP
CNTRL
COL1A1
COL1A2
COL6A3
CREB3L2
CRTC1
CRTC3
DGKB
EML1
EML4
EPC1
ERC1
ESRP1
ETV6
EWSR1
EXOC2
FCHSD1
FGFR1OP
FGFR1OP2
FIP1L1
FOXO1
FOXP1
FUS
FZD6
GAPDH
GIT2
GOLGA4
GOLGA5
GOPC
HAS2
HELIOS
ERVK-17
HIP1
HIST1H4I
HMGA1
HMGA2
HMGN2P46
HNRNPA2B1
HOOK3
HPR
HSP90AA1
HSP90AB1
IKZF1
IL2
IL21R
INPP5D
ITK
Ig
JAZF1
KIAA1549
KIF5B
KLK2
KTN1
LCK
LCP1
LEO1
LIFR
LRRFIP1
LYL1
MALAT1
MALT1
MEF2D
MIR142
MLL
MN1
MNX1
MSI2
MSN
MYB
MYC
MYH9
MYO18A
MYST3
MYST4
NAV2
NCOA4
NDE1
NDRG1
NFKB2
NIN
NONO
NOTCH1
NPM1
NSD1
NUMA1
NUP214
NUP98
OMD
P2RY8
PAX3
PAX5
PAX8
PCM1
PDE4DIP
PEX5
PICALM
PIM1
PML
POU2AF1
PPP2R2A
PRKAR1A
PRKG2
PVRL2
RABEP1
RANBP17
RANBP2
RBM15
RBM6
RCSD1
RNF213
RPN1
RUNX1
RYK
SEC31A
SENP6
SET
SFPQ
SFRS3
SLC34A2
SLC45A3
SNX2
SPECC1
SPTBN1
SQSTM1
SRGAP3
SS18
SS18L1
SSBP2
STAT5B
STRN
TAF15
TAL1
TCEA1
TCF12
TCF3
TCR
TFG
TFRC
THRAP3
TLX1
TMPRSS2
TP53BP1
TPM3
TPM4
TPR
TRIM24
TRIM27
TRIM33
TRIP11
VTI1A
WDR48
WWTR1
ZBTB16
ZMIZ1
ZMYM2
YAP1
GTF2I
EWS
SLC44A1
NAB2
CUX1
FGFR3
NABP1
ETV1
GLI1
BCL2
BRAF
NCOA2
PTPN3
NUP98
PRCC
TFE3
ALK
BCL2L1
TCR
Ig
Immunoglobulin
RARA
ABL1
FGFR1
JAK2
PDGFRA
MALT1
C15orf55
ARHGAP20
MKL2
BRD4
PDGFRB
WDR43
ETV4
MYH11
RET
FSTL3
SLC1A2
ROS1
USP6
MLL
PLAG1
ETV6
DUX4
KIT
PDGFB
CSF1
PPARG
MAML2
MIPOL1
PHF1
RAF1
ABL2
ACSL6
ARNT
BAZ2A
CDX2
FGFR3
FLT3
GOT1
ITPR2
LYN
MDS2
MECOM
NKAIN2
NTRK3
PER1
PRDM16
RUNX1
SYK
ATF1
CREB1
DDIT3
ERG
FEV
FLI1
NFATC2
NR4A3
PATZ1
PBX1
POU5F1
SMARCA5
SP3
WT1
ZNF444
IGH
PAX3
CREB3L1
CREB3L2
SDC2
BCL6
BCL11B
LAMA4
CCNB1IP1
COG5
COX6C
FHIT
LPP
NFIB
RAD51L1
WIF1
MRPS10
DEXI
TNFRSF17
BCL3
BCL7A
CCND1
CCND3
CDKN2A
FCGR2B
FCRL4
FOXP1
IL3
KDSR
LHX4
MUC1
MYC
PAFAH1B2
WHSC1
WWOX
SUZ12
SLC12A1
ACAT2
TFEB
MAP4
DAZAP1
ABI1
ABI2
ACACA
AFF1
AFF3
AFF4
ARHGAP26
ARHGEF12
CASC5
CASP8AP2
CBL
CREBBP
DAB2IP
EEFSEC
ELL
EP300
EPS15
FLNA
FOXO3
GAS7
GMPS
GPHN
KIAA0284
KIAA1524
LASP1
MAPRE1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT4
MLLT6
MYO1F
NCKIPSD
NEBL
PICALM
PDS5A
SACM1L
SEPT11
SEPT2
SEPT5
SEPT6
SEPT9
SH3GL1
SORBS2
TET1
ZFYVE19
HOXA9
GATA1
ZBTB5
ASXL2
NCOA3
TCF7L1
INA
TBXAS1
MLF1
ANKRD28
DEK
ADD3
CCDC28A
DDX10
HHEX
HMGB3
HOXA11
HOXA13
HOXC11
HOXC13
HOXD11
HOXD13
IQCG
KDM5A
LNP1
NSD1
PRRX1
PRRX2
PSIP1
RAP1GDS1
SETBP1
TOP1
WHSC1L1
CRLF2
NCOA1
AUTS2
BRD1
C20orf112
DACH1
ELN
HIPK1
PML
POM121
SLCO1B3
ZNF521
LPL
CHEK2
MKL1
CSF1R
CBFA2T3
CLCA2
LPXN
MACROD1
RUNX1T1
SH3D19
TRPS1
USP42
YTHDF2
ZNF687
ATP5O
NUP214
ELK4
SSX1
SSX2
SSX4
ZNF384
RHOA
HLF
NOP2
TFPT
LMO1
LMO2
MTCP1NB
NTRK1
ETV5
TCF7L2
CAMTA1
KIAA1549L
PRKCA
STAT6
AGR3
BAIAP2L1
TACC3
