ETV1
GLI1
BCL2
BRAF
NCOA2
PTPN3
NUP98
PRCC
TFE3
ALK
BCL2L1
TCR
Ig
Immunoglobulin
RARA
ABL1
FGFR1
JAK2
PDGFRA
MALT1
C15orf55
ARHGAP20
MKL2
BRD4
PDGFRB
WDR43
ETV4
MYH11
RET
FSTL3
SLC1A2
ROS1
USP6
MLL
PLAG1
ETV6
DUX4
KIT
PDGFB
CSF1
PPARG
MAML2
MIPOL1
PHF1
RAF1
ABL2
ACSL6
ARNT
BAZ2A
CDX2
FGFR3
FLT3
GOT1
ITPR2
LYN
MDS2
MECOM
NKAIN2
NTRK3
PER1
PRDM16
RUNX1
SYK
ATF1
CREB1
DDIT3
ERG
FEV
FLI1
NFATC2
NR4A3
PATZ1
PBX1
POU5F1
SMARCA5
SP3
WT1
ZNF444
IGH
PAX3
CREB3L1
CREB3L2
SDC2
BCL6
BCL11B
LAMA4
CCNB1IP1
COG5
COX6C
FHIT
LPP
NFIB
RAD51L1
WIF1
MRPS10
DEXI
TNFRSF17
BCL3
BCL7A
CCND1
CCND3
CDKN2A
FCGR2B
FCRL4
FOXP1
IL3
KDSR
LHX4
MUC1
MYC
PAFAH1B2
WHSC1
WWOX
SUZ12
SLC12A1
ACAT2
TFEB
MAP4
DAZAP1
ABI1
ABI2
ACACA
AFF1
AFF3
AFF4
ARHGAP26
ARHGEF12
CASC5
CASP8AP2
CBL
CREBBP
DAB2IP
EEFSEC
ELL
EP300
EPS15
FLNA
FOXO3
GAS7
GMPS
GPHN
KIAA0284
KIAA1524
LASP1
MAPRE1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT4
MLLT6
MYO1F
NCKIPSD
NEBL
PICALM
PDS5A
SACM1L
SEPT11
SEPT2
SEPT5
SEPT6
SEPT9
SH3GL1
SORBS2
TET1
ZFYVE19
HOXA9
GATA1
ZBTB5
ASXL2
NCOA3
TCF7L1
INA
TBXAS1
MLF1
ANKRD28
DEK
ADD3
CCDC28A
DDX10
HHEX
HMGB3
HOXA11
HOXA13
HOXC11
HOXC13
HOXD11
HOXD13
IQCG
KDM5A
LNP1
NSD1
PRRX1
PRRX2
PSIP1
RAP1GDS1
SETBP1
TOP1
WHSC1L1
CRLF2
NCOA1
AUTS2
BRD1
C20orf112
DACH1
ELN
HIPK1
PML
POM121
SLCO1B3
ZNF521
LPL
CHEK2
MKL1
CSF1R
CBFA2T3
CLCA2
LPXN
MACROD1
RUNX1T1
SH3D19
TRPS1
USP42
YTHDF2
ZNF687
ATP5O
NUP214
ELK4
SSX1
SSX2
SSX4
ZNF384
RHOA
HLF
NOP2
TFPT
LMO1
LMO2
MTCP1NB
NTRK1
ETV5
TCF7L2
CAMTA1
KIAA1549L
PRKCA
STAT6
AGR3
BAIAP2L1
TACC3
