5'_PARTNER_GENE 3'_PARTNER_GENE
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 PDGFRA
FIP1L1 RARA
FIP1L1 RARA
FIP1L1 RARA
FOXO1 PAX3
FOXP1 ABL1
FUS ATF1
FUS CREB3L1
FUS CREB3L1
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS CREB3L2
FUS DDIT3
FUS DDIT3
FUS DDIT3
FUS DDIT3
FUS DDIT3
FUS DDIT3
FUS DDIT3
FUS ERG
FUS ERG
FUS FEV
FZD6 SDC2
GAPDH BCL6
GIT2 PDGFRB
GOLGA4 PDGFRB
GOLGA5 RET
GOPC ROS1
HAS2 PLAG1
HAS2 PLAG1
HELIOS BCL11B
ERVK-17 ETV1
HIP1 PDGFRB
HIST1H4I BCL6
HMGA1 LAMA4
HMGA2 CCNB1IP1
HMGA2 COG5
HMGA2 COX6C
HMGA2 FHIT
HMGA2 LPP
HMGA2 NFIB
HMGA2 NFIB
HMGA2 RAD51L1
HMGA2 RAD51L1
HMGA2 RAD51L1
HMGA2 WIF1
HMGA2 WIF1
HMGA2 WIF1
HMGA2 WIF1
HMGA2 WIF1
HMGN2P46 ETV1
HNRNPA2B1 ETV1
HOOK3 RET
HPR MRPS10
HSP90AA1 BCL6
HSP90AA1 BCL6
HSP90AB1 BCL6
IKZF1 BCL6
IL2 DEXI
IL2 TNFRSF17
IL21R BCL6
INPP5D ABL1
ITK SYK
Ig BCL11B
Ig BCL11B
Ig BCL11B
Ig BCL11B
Ig BCL3
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL6
Ig BCL7A
Ig CCND1
Ig CCND3
Ig CCND3
Ig CCND3
Ig CDKN2A
Ig CDKN2A
Ig CDKN2A
Ig FCGR2B
Ig FCRL4
Ig FCRL4
Ig FCRL4
Ig FOXP1
Ig IL3
Ig KDSR
Ig LHX4
Ig LHX4
Ig MUC1
Ig MUC1
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig MYC
Ig PAFAH1B2
Ig WHSC1
Ig WWOX
Ig WWOX
Ig WWOX
JAZF1 PHF1
JAZF1 SUZ12
JAZF1 SUZ12
KIAA1549 BRAF
KIAA1549 BRAF
KIAA1549 BRAF
KIF5B ALK
KIF5B ALK
KIF5B PDGFRA
KIF5B RET
KLK2 ETV4
KTN1 RET
LCK TCR
LCK TCR
LCP1 BCL6
LEO1 SLC12A1
LIFR PLAG1
LRRFIP1 FGFR1
LYL1 TCR
MALAT1 ACAT2
MALAT1 ACAT2
MALAT1 TFEB
MALT1 MAP4
MEF2D DAZAP1
MEF2D DAZAP1
MIR142 MYC
MIR142 MYC
MLL ABI1
MLL ABI1
MLL ABI1
MLL ABI2
MLL ABI2
MLL ABI2
MLL ABI2
MLL ACACA
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF1
MLL AFF3
MLL AFF3
MLL AFF4
MLL AFF4
MLL AFF4
MLL ARHGAP26
MLL ARHGEF12
MLL CASC5
MLL CASP8AP2
MLL CBL
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL CREBBP
MLL DAB2IP
MLL EEFSEC
MLL ELL
MLL EP300
MLL EP300
MLL EP300
MLL EP300
MLL EP300
MLL EP300
MLL EPS15
MLL EPS15
MLL EPS15
MLL FLNA
MLL FOXO3
MLL GAS7
MLL GAS7
MLL GAS7
MLL GAS7
MLL GAS7
MLL GMPS
MLL GMPS
MLL GPHN
MLL GPHN
